Programme,Nombre de Threads,Tentative N°,Temps d'execution
phil,2,1,0
phil,2,2,0
phil,2,3,0
phil,2,4,0
phil,2,5,0
phil,4,1,0
phil,4,2,0
phil,4,3,.100
phil,4,4,0
phil,4,5,0
phil,8,1,0
phil,8,2,0
phil,8,3,.100
phil,8,4,0
